Gene,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
g10,g10,0.279485967,0.720501679,0.272948368,0.789192718,0.961928348,-5.056121242
g100,g100,0.583678968,4.310465065,1.225223234,0.242287339,0.718885553,-5.249881938
g1000,g1000,0.07103313,2.192821549,0.215400644,0.832806936,0.970982548,-5.397253013
g10001,g10001,0.051176887,3.516647336,0.213151076,0.834524653,0.971556813,-5.769925476
g10002,g10002,0.365269711,5.221522616,1.819091013,0.092063509,0.557972765,-4.620653021
g10003,g10003,-0.89290444,0.176488465,-1.418854599,0.179535342,0.670037236,-4.456064736
g10004,REG1B,-0.483474564,2.95244215,-0.35869412,0.725598134,0.946879018,-5.596057601
g10005,g10005,0.344219044,5.383618291,1.895378409,0.080558677,0.544679758,-4.519229776
g10006,g10006,-0.382316778,3.654160481,-0.702171266,0.494987771,0.860714358,-5.531364832
g10007,g10007,0.336258991,1.595838293,0.786411562,0.445764959,0.839426223,-5.023860536
g10009,g10009,0.06046032,-1.083272377,0.044199086,0.965419297,0.995143406,-4.807357058
g10010,g10010,-1.638275522,0.116451123,-1.481831687,0.162281006,0.652508638,-4.417820277
g10011,g10011,0.479604519,1.009534326,0.250918741,0.805810234,0.964972001,-5.009728704
g10013,g10013,-3.185959365,0.950598146,-1.500897598,0.15734118,0.645638976,-4.404028113
g10014,g10014,2.343993556,-0.648104316,1.13999937,0.27491256,0.741376313,-4.591742762
g10015,g10015,-0.301707027,0.341464747,-0.335903513,0.742318224,0.951829793,-4.909233166
g10016,HABP2,0.383653945,1.958312831,0.833931193,0.419421609,0.82525292,-5.081289859
g10017,KCNK2,0.943692969,1.35436967,1.466762095,0.16627746,0.65680365,-4.471252793
g10018,KCNK2,-0.675949142,1.646860239,-0.673451875,0.512488608,0.86749859,-4.973783717
g10019,CPA1,0.501804134,3.554046284,0.887858687,0.390793104,0.812528599,-5.450103021
g10020,CPA1,-1.624463176,4.647606182,-2.779033959,0.015679747,0.352903037,-2.985591286
g10021,CPA1,0.977471038,3.822932638,0.950432802,0.359276883,0.798418803,-5.446868941
g10022,NLRP12,-0.892924107,1.371535662,-0.478815647,0.640045206,0.918686497,-5.00423612
g10023,SAMD3,-0.10095064,-1.013928346,-0.045224179,0.964617861,0.995143406,-4.790654865
g10024,g10024,-0.874496006,-0.007947893,-0.764675727,0.458159499,0.846378615,-4.774813591
g10025,g10025,-0.586573622,0.303027511,-0.757376026,0.462370175,0.846906169,-4.784944447
g10026,g10026,0.016190676,0.609248957,0.029205077,0.977145871,0.996356332,-5.006057172
g10027,g10027,0.010092201,6.171691438,0.034525096,0.97298439,0.995620907,-6.20082878
g10028,g10028,-0.432582031,0.204215717,-0.87535027,0.397312753,0.814566945,-4.765849935
g10029,PITX2,0.313106702,3.783328832,1.576557181,0.138978713,0.623084925,-4.745324861
g10030,g10030,2.12521217,0.762817159,3.231913454,0.006573772,0.266339497,-2.931302848
g10032,FUT8,0.360602781,2.978876025,0.876025951,0.396958708,0.814424807,-5.266256187
g10037,GBF1,0.232305451,6.912450333,1.960387427,0.071801786,0.534226652,-4.482303173
g10038,g10038,-0.536364235,3.157732041,-1.829242104,0.090451726,0.553002456,-4.293347315
g10039,DDX25,0.014896097,5.829729463,0.096224276,0.924814135,0.988095579,-6.180440575
g10040,POLR1E,0.081882837,4.720255239,0.376041145,0.712968538,0.942936117,-5.984241662
g10041,SSPO,0.324233664,4.967326853,1.613353416,0.130735081,0.614366147,-4.880884444
g10043,g10043,-0.643726153,-0.133788642,-1.051894029,0.312061975,0.771075266,-4.641422786
g10044,g10044,-0.889728557,2.559449703,-1.635443146,0.125992594,0.608760592,-4.399968976
g10045,smt3,-0.520041043,0.662874804,-0.854185952,0.408510241,0.82099167,-4.796872562
g10046,g10046,-0.124795942,1.006220444,-0.182189071,0.85825252,0.975932453,-5.076193286
g10047,g10047,0.634160318,4.386550744,2.654649158,0.019874712,0.372814128,-3.186932243
g10048,g10048,1.926529932,2.872506146,1.954277626,0.072586142,0.536724719,-4.005839387
g10049,g10049,2.15533591,4.069632673,1.416619746,0.180174725,0.670037236,-4.861931567
g10050,g10050,0.351800592,0.033565985,0.207430239,0.838896912,0.972526904,-4.941920849
g10051,g10051,-0.946264971,3.646313873,-1.048835361,0.313415445,0.771206382,-5.309514218
g10052,g10052,-0.390887124,0.766191582,-0.160143764,0.875236319,0.978941809,-4.98527541
g10053,g10053,0.286365291,1.777589528,0.435550881,0.670327007,0.928922556,-5.23986674
g10054,g10054,0.777405414,1.073742188,1.126992238,0.280175354,0.744697108,-4.706489731
g10057,g10057,-1.833671894,4.604842385,-2.37826828,0.033465195,0.429300992,-3.639700578
g1006,g1006,0.000612764,2.972243074,0.0015662,0.998774199,0.999776122,-5.645680933
g10061,FBF1,-0.147039808,4.503314482,-0.588869172,0.566069498,0.890639812,-5.827295582
g10064,g10064,-0.107671173,1.268113732,-0.174578128,0.864108188,0.977298526,-5.147091808
g10066,g10066,0.354647356,4.628455322,0.434453389,0.671103316,0.929629481,-5.945053854
g10067,LIM2,-0.611518734,-0.246289798,-0.272197306,0.789757552,0.961928348,-4.8152377
g10069,NKG7,0.372027597,4.872100242,0.455470638,0.656306013,0.923287831,-5.991208219
g1007,g1007,0.290726659,2.479330877,0.640814039,0.532808783,0.876718339,-5.342669418
g10071,g10071,-0.153133801,4.429846907,-0.315049991,0.757737627,0.95579127,-5.937186203
g10072,MSANTD3,-0.166512487,3.673390094,-1.001337687,0.334989226,0.785763374,-5.353013528
g10073,SYCP2L,-0.20432345,5.464380393,-0.314822,0.75790682,0.95579127,-6.120762036
g10076,C5,0.686566057,6.644994299,1.761296086,0.101740349,0.576431591,-4.779739862
g10078,g10078,-0.206251922,-1.048496845,-0.192168262,0.850588043,0.974745068,-4.831221815
g10079,g10079,-0.386016608,4.469836125,-0.734939223,0.475462787,0.850535364,-5.747177947
g1008,DENND4B,0.10885007,6.382378022,0.841030598,0.415575439,0.824025026,-5.855818841
g10080,g10080,-1.904576376,-1.343384548,-1.382738893,0.190101493,0.676616014,-4.499378834
g10081,SSPO,-1.740080162,0.110241474,-0.968662638,0.350439931,0.792432152,-4.69625063
g10082,RASGEF1C,0.184416044,7.886745016,1.165533722,0.264801363,0.733983144,-5.523592733
g10083,IL17RB,0.091063108,3.947748345,0.219882759,0.829387171,0.96990949,-5.883672603
g10084,ADARB2,0.02398062,5.963147984,0.118166881,0.907746818,0.984943878,-6.186201683
g10085,FUT8,-1.550259314,0.054915108,-1.513955643,0.154031949,0.643021453,-4.39624079
g10086,g10086,-0.117374847,4.600442586,-0.652140415,0.525705624,0.875122108,-5.822012832
g10087,g10087,0.826580175,2.351970844,2.302301333,0.038546162,0.455059777,-3.555388863
g10088,g10088,-0.004171188,4.321654501,-0.019599637,0.984661218,0.997763038,-5.983243512
g10089,C10orf35,0.120757087,3.520243121,0.514517177,0.615549656,0.908506455,-5.644526392
g1009,g1009,-1.29946645,2.383188142,-1.20185819,0.250914895,0.727554208,-4.880164704
g10090,GAL3ST2,-0.262607585,2.046463286,-0.566201581,0.580926905,0.896361443,-5.244407123
g10092,GAL3ST2,-1.098954965,1.511047799,-1.75408234,0.103009747,0.579233331,-4.191256637
g10094,g10094,0.380786352,3.563545235,1.347829992,0.200796342,0.684122159,-4.976831744
g10095,g10095,-0.522498925,3.281456409,-1.902862392,0.079503263,0.544150539,-4.20929103
g10096,g10096,0.545441251,6.541585611,2.167558155,0.049403485,0.486590398,-4.151057058
g10097,g10097,0.301576393,4.265823909,1.773954137,0.099546541,0.573772828,-4.560745376
g10098,g10098,-0.330113899,4.940355302,-1.30346024,0.215092743,0.696050439,-5.262629548
g10099,g10099,0.128218786,3.472227187,0.427199357,0.676244287,0.931318467,-5.679552029
g101,g101,0.41409579,1.918432616,0.669677925,0.514814955,0.869330113,-5.139205161
g10100,MS4A4A,-0.297763441,1.428238577,-0.583504431,0.569567315,0.891424534,-5.08916192
g10102,g10102,-0.59043169,3.891452754,-1.107041833,0.288395706,0.753437487,-5.256986959
g10103,g10103,-0.260500981,2.214665545,-0.596813024,0.560911372,0.888235374,-5.269125682
g10104,g10104,0.009786405,4.813501218,0.020325095,0.984093552,0.997763038,-6.069907853
g10105,g10105,-0.78759763,1.76546177,-1.059283929,0.308809723,0.76927101,-4.814141775
g10106,g10106,0.046742777,6.162211005,0.198180477,0.845977948,0.97390292,-6.181658095
g10107,g10107,0.746837582,-0.35416426,0.794334308,0.441300737,0.837378053,-4.726878265
g10109,TNC,-0.048499254,4.78176729,-0.0462868,0.963787128,0.995143406,-6.064899419
g1011,g1011,0.00393664,0.558843884,0.007545306,0.994094655,0.998729532,-5.026374798
g10110,g10110,-0.506772258,-0.608100593,-0.662159397,0.519467795,0.871798743,-4.764694509
g10111,CRYGB,-1.103383142,-0.055380607,-0.440396133,0.666904448,0.926828126,-4.877544449
g10112,g10112,1.005058878,0.560860397,1.627595538,0.12765999,0.610972924,-4.3050927
g10114,g10114,-2.023252807,3.24715469,-3.605951075,0.003208829,0.205240625,-1.620194865
g10115,g10115,-0.764498864,0.687738933,-1.334923564,0.204872849,0.687116957,-4.530047543
g10116,g10116,0.561526442,3.622923544,1.759798652,0.102002701,0.576925141,-4.459172786
g10117,g10117,0.365578764,2.460399234,0.391776852,0.701587646,0.938990172,-5.379788417
g10118,g10118,0.347350529,2.951978634,1.174612219,0.261276272,0.733167512,-5.033581403
g10119,g10119,0.388371689,0.683497415,0.432544273,0.67245466,0.929932231,-4.976014668
g1012,g1012,-0.911463391,0.52847241,-1.661969864,0.120496137,0.602049725,-4.282074077
g10120,SAMD3,-0.925594222,1.123599028,-1.662833289,0.12032081,0.602049725,-4.272813787
g10121,g10121,-0.418148204,4.28690275,-1.399031414,0.185272952,0.672834254,-5.044976693
g10122,g10122,0.473503555,1.527402787,1.275583381,0.224487484,0.704080084,-4.65340241
g10123,g10123,-0.760753358,3.007074498,-1.856095969,0.086309617,0.549375635,-4.227980869
g10124,g10124,-0.031907244,4.96984179,-0.06181114,0.951656088,0.993233389,-6.08208112
g10125,g10125,-0.053690941,4.538627222,-0.05579754,0.956353925,0.994387661,-6.039470769
g10126,g10126,-0.227324214,3.959489815,-0.694893056,0.499388883,0.861527185,-5.654333438
g10128,g10128,-1.236052187,3.126434095,-3.009264282,0.010085527,0.316397207,-2.524809405
g10129,g10129,0.114828184,3.888872751,0.190864216,0.851588731,0.974745068,-5.870441118
g10130,g10130,-0.000738156,4.69833763,-0.001875065,0.998532464,0.999776122,-6.034846083
g10131,g10131,0.628881291,2.420871546,0.704509468,0.493578802,0.859762576,-5.208732738
g10132,g10132,0.416616383,3.525477726,1.806636428,0.094076241,0.561674146,-4.380047798
g10133,g10133,0.189278629,8.010363399,0.598153284,0.560043627,0.887941137,-6.000788969
g10135,PNLIPRP2,0.691871435,2.729292186,1.794143789,0.096134652,0.564321841,-4.261039447
g10136,BIRC2,-0.081504989,6.861889383,-0.308252878,0.762787303,0.956991801,-6.166069788
g10137,BIRC2,0.08201683,8.296616935,0.362908121,0.722522245,0.945308407,-6.106568743
g10138,g10138,0.157146881,4.292113285,0.987407495,0.341515317,0.789065247,-5.497115526
g10139,BIRC2,-0.17234621,5.052783122,-0.74178629,0.471443315,0.848244873,-5.832094442
g10140,BIRC3,-0.13010728,3.84309617,-0.490332956,0.632092932,0.916200276,-5.74744752
g10145,g10145,-0.325912555,3.76523956,-1.262991025,0.228837509,0.707931181,-5.112091266
g10146,g10146,-0.267476662,3.002323081,-0.61938277,0.546396503,0.882498419,-5.478888242
g10147,g10147,0.33578131,7.168973159,1.434889058,0.175003088,0.665224777,-5.225147442
g10148,g10148,0.2129172,6.134734892,0.621024281,0.545348998,0.882284367,-6.003048947
g1015,g1015,-0.56674684,-0.190621995,-0.56085637,0.584459995,0.897143845,-4.853505027
g10151,g10151,-1.52314445,-0.226094973,-1.331788843,0.205873051,0.687681392,-4.505869938
g10152,g10152,-0.560210582,1.573867971,-1.085420924,0.297508345,0.761067859,-4.797943663
g10153,g10153,0.081897461,5.64741552,0.22543867,0.825153145,0.96852541,-6.149176526
g10154,MS4A4A,-0.279021219,2.919964865,-0.781803411,0.448374711,0.840314123,-5.359459181
g10155,g10155,1.032690767,-0.491395026,1.225464931,0.242199326,0.718885553,-4.557776145
g10157,g10157,0.486598652,0.280481304,0.52289539,0.609868513,0.907177415,-4.932417784
g10158,g10158,0.380111375,1.087129378,0.398499277,0.696748187,0.937181993,-5.122498622
g1016,SLC35B4,0.156463173,4.423723576,0.941031944,0.363894744,0.80107305,-5.564364844
g10161,g10161,-1.833784846,0.634180072,-1.829256698,0.090449427,0.553002456,-4.188094948
g10162,g10162,-0.217761389,2.564647896,-0.447359916,0.661998989,0.924676898,-5.401779037
g10163,MS4A4A,0.628320459,3.782819194,1.924658694,0.076500701,0.538906086,-4.265111602
g10164,MS4A4A,0.72387595,8.913992061,2.01302945,0.065358838,0.522018049,-4.351449112
g10165,g10165,-0.189691787,7.366178369,-0.740185054,0.472381415,0.848944874,-5.927610323
g10166,SYCP2L,0.05782273,3.140628628,0.040267702,0.968493275,0.995146109,-5.681940336
g1017,PIK3C2A,0.382653738,6.843743838,1.918425827,0.077348596,0.5400849,-4.54720079
g10170,g10170,0.696779452,0.149755871,0.577269156,0.573647181,0.893833406,-4.872274186
g10171,UMODL1,0.998132854,0.235970766,1.001064053,0.335116549,0.785763374,-4.693730124
g10172,g10172,0.422293931,2.973939655,1.197389661,0.252591929,0.728961727,-5.01802007
g10173,GPR128,1.239147816,1.686461853,1.602267435,0.133172989,0.61683779,-4.355612408
g10174,GPR128,0.523052279,4.181485968,0.772270801,0.453804084,0.844047804,-5.632328666
g10176,SEMA4D,-1.227825656,1.770795752,-1.077496899,0.300901529,0.763873225,-4.847032373
g10177,SEMA4D,-0.955098416,2.69365376,-1.011789878,0.330151887,0.780638409,-5.114763117
g10178,g10178,-0.380268221,5.333590938,-1.020087525,0.326347861,0.779196654,-5.630325946
g1018,FAM91A1,0.308278646,6.523606831,1.343940618,0.202017782,0.685424127,-5.340453887
g10180,g10180,0.568968758,2.691649111,1.053923131,0.311166473,0.771075266,-5.062030739
g10183,CIITA,-0.101800049,2.937827977,-0.115810706,0.909577365,0.985055469,-5.663047722
g10184,smp-1,-0.437067846,1.858752213,-0.870967412,0.399614469,0.815522229,-5.026644373
g10185,SEMA4A,0.008523535,1.902352052,0.016773117,0.986873025,0.998274455,-5.349796677
g10189,CIITA,1.492426302,0.595030043,1.379134961,0.191183467,0.677250902,-4.487134285
g1019,g1019,0.827192858,4.102632854,1.92973571,0.075816313,0.537813814,-4.298903311
g10190,g10190,0.94189703,-0.414045997,0.864280701,0.403143341,0.817878663,-4.709997115
g10191,g10191,-0.485921856,0.092970755,-0.29745081,0.770835531,0.958551786,-4.933721122
g10194,CIITA,0.192451668,1.259327056,0.224546041,0.825833016,0.968587507,-5.191751736
g10195,SEMA4D,0.209222768,3.09786425,0.58951352,0.56565016,0.890180549,-5.526880428
g10196,g10196,-0.188508428,-0.597070415,-0.11290242,0.911837594,0.98533193,-4.883805088
g10197,TNR,0.151794581,2.593492991,0.203208161,0.842127299,0.97286095,-5.48738362
g102,SLC16A7,-1.246697218,1.720267039,-1.542963723,0.146891874,0.634038577,-4.410899004
g1020,g1020,0.672183493,1.924611133,1.324203931,0.208309603,0.689430266,-4.669014704
g10204,ZBED8,0.275247893,-0.105324684,0.376953582,0.712306625,0.942936117,-4.909261689
g10205,LRSAM1,-1.089806162,3.62759421,-0.888894498,0.390256494,0.812440007,-5.469110958
g10206,SMS,0.55559658,2.632955823,1.500728802,0.157384349,0.645638976,-4.607662372
g10207,TNC,0.447308303,3.091325933,0.551381065,0.590750379,0.898995947,-5.535860354
g10208,TNR,-0.516301403,1.230331215,-0.863879002,0.403355999,0.818072489,-4.869234498
g10210,LRSAM1,0.35785705,4.497602463,1.164305648,0.265281016,0.73409239,-5.356396462
g10211,SMS,-0.020404959,3.615632618,-0.063002373,0.950725711,0.99287121,-5.80501825
g10212,g10212,0.556033473,0.721842463,0.325222969,0.750201611,0.954114341,-5.041314258
g10213,g10213,0.244700446,0.849930229,0.365033554,0.720972744,0.94489844,-5.036061371
g10214,PABPC4,0.346146698,0.070187179,0.31747904,0.755935841,0.955220827,-4.905640797
g10215,g10215,0.369154394,1.799757653,0.773918599,0.45286261,0.843164661,-5.065370609
g10217,CAMK2B,0.646229783,-0.065596277,0.607069701,0.554289329,0.885468488,-4.826377829
g10218,CAMK2G,0.054423638,0.749599046,0.03727863,0.970830807,0.995620043,-5.107145499
g1022,CR2,-0.515011362,1.732671614,-0.488633603,0.633263313,0.916582754,-5.227299976
g10220,NEXN,0.329079372,3.596123486,1.105021924,0.289238037,0.754135008,-5.233095414
g10221,dnj-20,-0.156169429,5.259814586,-1.081014034,0.299391894,0.762396055,-5.557119112
g10223,GPR107,-0.013210346,4.748705963,-0.1058992,0.917283517,0.986485815,-6.048390647
g10224,RIOK3,-0.272281848,5.61898777,-1.715885873,0.109968327,0.590561691,-4.806159517
g10225,ZCCHC7,-0.091249883,4.486886912,-0.427630394,0.675938333,0.931285867,-5.922263195
g10226,LONP1,-0.144668392,4.306442668,-0.729155555,0.478874347,0.851504017,-5.708015002
g10227,g10227,-0.569833991,0.521730204,-1.162043382,0.266166349,0.734911505,-4.630430173
g10228,g10228,1.067001383,-0.981813289,0.968846871,0.350351417,0.792431449,-4.649281224
g10229,g10229,-1.120174154,0.10368619,-1.47282534,0.164659636,0.654795081,-4.422424021
g10230,g10230,0.237794505,1.018537212,0.251458039,0.805402216,0.964972001,-5.032193232
g10231,g10231,-1.289647109,-0.43541958,-1.309327682,0.213156263,0.694895846,-4.516301447
g10232,KLHDC1,-0.34001566,3.976127625,-1.349695299,0.200212694,0.683812966,-5.060632459
g10233,MOB1B,-0.159750148,4.868024046,-0.963922796,0.352722625,0.792709373,-5.62079067
g10234,g10234,-0.198621299,-0.901877971,-0.121436603,0.905207435,0.984943878,-4.805199098
g10237,UPF3B,0.144537452,3.545361743,0.530308155,0.604863857,0.905577975,-5.661162766
g10238,FGFR1OP2,-0.227149966,3.690928163,-1.481973777,0.162243713,0.652508638,-4.832577276
g10239,SLC25A1,0.142256583,5.100095708,0.882124199,0.39377297,0.81315719,-5.728658949
g10240,SPIDR,0.140175721,3.174402895,0.737657733,0.473864411,0.849961491,-5.44030034
g10241,TSEN15,0.163377325,3.142368508,0.732209543,0.477071057,0.850801119,-5.440536873
g10242,TXLNB,0.046870793,4.718102057,0.312817559,0.759394872,0.95579127,-6.001231011
g10243,TMEM9,-0.296270334,2.390195689,-1.006477933,0.332603934,0.783158093,-5.024492265
g10244,TMEM101,-0.140919866,5.060452242,-0.819175957,0.427490048,0.829829971,-5.773949533
g10245,g10245,-1.849025962,1.058051152,-1.562345285,0.142280569,0.628600267,-4.355755596
g10246,PEX19,-0.234728321,3.929497764,-0.903195709,0.382898906,0.807966751,-5.478161318
g10247,ZNF830,-0.610742986,2.325908273,-1.632605463,0.12659332,0.609398738,-4.403427353
g10248,HSD17B7,0.25245884,3.875478105,1.503527262,0.156669952,0.644867187,-4.859337473
g10249,P4HA2,-0.074228059,5.107789084,-0.47731244,0.641086566,0.918765825,-5.991081233
g10250,VPRBP,0.622724515,2.820706646,0.907009276,0.380953084,0.807329276,-5.215179468
g10251,C10orf67,-0.233678921,4.866086071,-0.65351224,0.524848997,0.874836185,-5.869927967
g10252,HADH,0.180268449,4.729593397,0.472577556,0.644371862,0.920234116,-5.945313971
g10253,PPAN,0.014457046,4.037777892,0.057022273,0.955397017,0.994387661,-5.912196588
g10254,PIP5KL1,-1.063521652,1.419952526,-2.413818929,0.031313286,0.420389586,-3.495682613
g10255,sca,0.908148462,-0.700469079,0.504030537,0.622696969,0.911566243,-4.786085107
g10257,FIBCD1,-2.97005032,1.529118955,-1.030726322,0.32151731,0.777968408,-4.754679785
g10258,g10258,-0.267733656,3.251103804,-0.677476822,0.510014315,0.866459927,-5.47453137
g10259,g10259,-0.114251428,5.850565115,-0.558274992,0.586170239,0.897609044,-6.026205332
g10260,TNS3,0.344401375,5.545256603,1.63948955,0.12514028,0.607934542,-4.910345455
g10261,SGOL1,-0.365373558,3.895233646,-2.138012428,0.052140939,0.493344769,-3.954038259
g10262,g10262,0.102794567,6.506959875,0.6769616,0.510330651,0.866556554,-5.980727937
g10263,SNRPA1,-0.268349639,5.020275999,-1.660230619,0.120849986,0.603170529,-4.818782989
g10264,METTL13,0.532038418,3.719888025,1.925963997,0.076324209,0.538480268,-4.246010503
g10265,MRPL41,-0.592019182,2.812562642,-1.466437397,0.166364473,0.65680365,-4.673797556
g10266,MTR,0.070466746,4.343899501,0.342850464,0.737206757,0.950666786,-5.926740465
g10267,g10267,1.190363642,5.281553631,2.672080394,0.019226715,0.370952539,-3.228886429
g10268,g10268,0.058661989,4.383475049,0.255196439,0.802575481,0.964554325,-5.95397026
g1027,g1027,-0.344289119,1.409134207,-0.395416817,0.698965544,0.938357549,-5.150779334
g10270,TNC,0.406555566,0.523228486,0.330174637,0.746543054,0.953320548,-4.945275407
g10272,FIBCD1,0.681657603,1.01728792,0.410156923,0.688388641,0.93710094,-4.996140832
g10274,ANGPT4,0.726399,0.871424039,0.638465541,0.534288385,0.877837944,-4.953695749
g10276,PSMB6,0.027236417,6.494952335,0.142893215,0.888571688,0.981078523,-6.203641957
g10277,GMFG,-0.213003728,3.933119185,-1.294111752,0.218207369,0.698393555,-5.102726911
g10278,PSMB7,-0.012065901,6.892794532,-0.083539854,0.934698559,0.990097539,-6.210990775
g10279,g10279,0.314603797,3.919268884,0.8774814,0.396196801,0.814086333,-5.515114179
g1028,PDIK1L,0.006302187,5.847046991,0.054491017,0.957374814,0.994567977,-6.185647103
g10280,g10280,-0.025360258,4.769238862,-0.117372919,0.908363598,0.984943878,-6.054120047
g10281,g10281,0.298047688,3.947287133,0.843286112,0.414358387,0.823722355,-5.548022908
g10282,FBXL18,0.064954518,-0.605844433,0.071953362,0.943737316,0.991814027,-4.841972031
g10283,g10283,0.029731323,-1.133894943,0.026015633,0.979641094,0.996825504,-4.819395449
g10284,FBXL18,0.007969254,4.088662126,0.029715366,0.976746675,0.996356332,-5.935103781
g10285,g10285,0.209191455,7.257344415,1.241670467,0.236355389,0.712618868,-5.456900429
g10286,g10286,-0.047198313,6.510073126,-0.119571858,0.906655532,0.984943878,-6.207399857
g10287,g10287,0.128622871,-1.06232411,0.076096912,0.940503885,0.990922394,-4.826465395
g10288,g10288,-0.777987629,5.928262268,-2.313878153,0.037727075,0.453776769,-3.889342926
g10289,g10289,-1.412658183,6.825713794,-2.17261479,0.04894869,0.485699715,-4.134999085
g1029,SPATA21,1.385103466,-0.690013376,0.976304507,0.346781743,0.791001484,-4.649617487
g10290,ETFDH,-0.464434157,5.30843807,-3.717920804,0.00259213,0.196723591,-1.401031004
g10291,g10291,-0.098381678,3.305313481,-0.426811748,0.676519466,0.931406026,-5.639422149
g10292,g10292,0.504065747,3.175622339,1.053745271,0.311244892,0.771075266,-5.16144636
g10293,SLC44A5,0.157592706,5.709903583,1.185942263,0.256927979,0.731044644,-5.486525164
g10294,g10294,-2.353635491,-0.225242912,-1.202162911,0.250800851,0.727554208,-4.574759564
g10296,RUFY1,-0.625241577,1.496641776,-1.594690613,0.134861752,0.616900257,-4.353331025
g10297,g10297,0.416814379,0.952485212,0.400157376,0.695556636,0.937140495,-5.072502716
g10298,RUFY1,-0.077342621,4.31161493,-0.64605546,0.529514962,0.876059664,-5.767995359
g10299,g10299,0.101551805,2.023707073,0.327621017,0.748429013,0.953976594,-5.336511942
g103,SLC16A13,-1.004578616,1.465146812,-0.87279412,0.39865406,0.814883722,-4.919882983
g1030,XPNPEP2,-0.545499698,2.467659923,-1.299590852,0.216377532,0.69684315,-4.773269877
g10300,ASZ1,0.039655019,2.282662169,0.090957218,0.928917048,0.989590456,-5.466160326
g10301,g10301,-0.325432652,6.392925365,-1.952231758,0.072850531,0.53676365,-4.490890977
g10302,g10302,-0.270681288,3.413568043,-1.48593487,0.161206982,0.652001546,-4.777655208
g10303,g10303,0.198075959,5.58554042,1.318597225,0.210125672,0.691667547,-5.326963207
g10304,g10304,0.498305268,0.42337393,0.578636855,0.572750942,0.893703859,-4.91488291
g10305,g10305,0.407169799,1.607848461,1.101224868,0.290826479,0.755737707,-4.816525574
g10306,DDX55,0.127204034,1.482589972,0.338316526,0.740541307,0.951584008,-5.173324442
g10307,DDX55,0.158164432,3.141615313,0.76394037,0.458582581,0.846378615,-5.415608652
g10308,FUBP1,-0.066934183,8.680800689,-0.425532235,0.677428189,0.931695286,-6.071757696
g10309,PPIF,0.096092551,9.747181903,0.384545501,0.706808642,0.942177437,-6.051714474
g1031,g1031,0.08835318,0.775034464,0.190452003,0.851905107,0.974745068,-5.047920378
g10310,UCHL5,-0.410096396,4.51379742,-1.358706402,0.197412636,0.682863783,-5.134262932
g10311,TOR1A,-0.310294711,3.840958303,-1.18492959,0.257314327,0.731220737,-5.211132496
g10312,TOR1A,0.38296462,1.770501119,0.515926028,0.614592515,0.908354387,-5.235442928
g10313,E2F4,-0.117154561,2.892621365,-0.396377859,0.698273913,0.938009766,-5.568070285
g10314,DYNC2H1,-0.060205,6.548901916,-0.287279444,0.778439195,0.959928405,-6.172170698
g10315,g10315,0.087183248,3.651894466,0.273094588,0.789082769,0.961928348,-5.792906785
g10316,TSPAN15,-0.493145679,3.022689358,-2.30818251,0.038127967,0.454385322,-3.582030376
g10317,MTNR1A,0.159721776,1.064383768,0.171861795,0.866200111,0.977415189,-5.146426616
g10318,MTNR1A,0.263897114,5.877810737,0.600144085,0.558756037,0.887731358,-6.008372481
g10319,g10319,-1.023027427,0.067153112,-0.836892637,0.417814379,0.824765701,-4.761305042
g1032,IFT52,-0.188189158,5.764308056,-1.528312169,0.150462109,0.639441785,-5.076553966
g10320,MYO1A,0.231672222,6.990286891,1.78306547,0.097993635,0.568661651,-4.74872373
g10322,g10322,-0.026345111,5.337236348,-0.156306055,0.878199748,0.979105909,-6.123497053
g10323,g10323,0.200277869,7.619336531,1.110596021,0.286918054,0.751199563,-5.589661878
g10324,g10324,-0.100134399,4.859426198,-0.269240242,0.791982601,0.961928348,-6.024641599
g10325,g10325,-0.092180482,1.841831675,-0.229956667,0.821714274,0.967022014,-5.296894327
g10326,SCMH1,-0.058631916,4.41800964,-0.296892736,0.771252092,0.958551786,-5.961033171
g10327,g10327,-0.781260355,0.441484084,-1.223241107,0.243010071,0.719400444,-4.589281823
g10328,g10328,-0.675392401,0.181153763,-1.308464642,0.213440213,0.694895846,-4.521402221
g1033,FNBP4,-0.309481057,4.778459292,-1.850652191,0.087135209,0.549618589,-4.515678872
g10331,SLC44A5,-0.118255087,4.298609229,-0.289248096,0.776965635,0.959928405,-5.946561829
g10333,g10333,0.059176619,5.656117263,0.204095494,0.841448136,0.972822504,-6.151076127
g10334,PIN1,-0.165335021,5.043052226,-1.275313912,0.224579875,0.704080084,-5.317547372
g10335,g10335,-0.441297274,4.392496136,-1.313076517,0.21192639,0.693351678,-5.177773069
g10336,FUT8,-0.436064321,3.267477382,-1.554217923,0.144198913,0.63089847,-4.668078647
g10337,FNBP1,0.032645039,6.376684063,0.157893394,0.876973791,0.978954344,-6.197628789
g10338,g10338,-0.708298878,0.434982241,-1.213403136,0.246622344,0.723673483,-4.598907295
g10339,g10339,-0.612705864,6.164515661,-1.289562187,0.219736207,0.699883203,-5.397729012
g1034,VCPKMT,-0.075093924,4.822049162,-0.476597104,0.641582399,0.918765825,-5.960229455
g10340,g10340,-0.010691736,3.198796596,-0.049597057,0.961199531,0.994892321,-5.689199248
g10341,PPP1CC,0.878803365,3.325222137,0.947277087,0.360822412,0.799102095,-5.317919622
