g9597.t1	sp|Q20191|NAS13_CAEEL	30.631	333	191	6	907	1848	139	450	1.13e-44	168
g11811.t1	sp|O70497|FCN2_MOUSE	41.946	298	142	7	34	900	37	312	1.91e-65	211
g11811.t2	sp|P57756|FCN2_RAT	39.528	339	168	9	25	1011	6	317	2.68e-67	217
g11813.t1	sp|Q6AX44|FBCDA_XENLA	43.682	277	135	10	76	867	184	452	4.35e-64	211
g11813.t2	sp|P57756|FCN2_RAT	40.606	330	167	12	31	993	8	317	4.16e-66	214
g12050.t1	sp|Q15746|MYLK_HUMAN	28.759	838	482	16	2560	4911	414	1190	7.81e-87	319
g12050.t1	sp|Q15746|MYLK_HUMAN	30.657	411	248	10	1351	2505	402	801	2.96e-43	177
g12050.t1	sp|Q15746|MYLK_HUMAN	28.101	395	258	7	1090	2217	414	801	1.53e-39	165
g12050.t1	sp|Q15746|MYLK_HUMAN	28.571	427	272	11	1612	2826	394	809	7.91e-37	156
g12050.t1	sp|Q15746|MYLK_HUMAN	29.373	303	190	5	1081	1935	511	807	8.16e-32	140
g12050.t1	sp|Q15746|MYLK_HUMAN	31.169	308	184	12	2236	3090	402	704	1.17e-27	126
g12050.t2	sp|Q15746|MYLK_HUMAN	36.241	1559	830	23	2560	6957	414	1901	0.0	887
g12050.t2	sp|Q15746|MYLK_HUMAN	30.657	411	248	10	1351	2505	402	801	1.90e-42	176
g12050.t2	sp|Q15746|MYLK_HUMAN	28.101	395	258	7	1090	2217	414	801	7.07e-39	164
g12050.t2	sp|Q15746|MYLK_HUMAN	28.337	427	273	10	1612	2826	394	809	2.98e-36	155
g12050.t2	sp|Q15746|MYLK_HUMAN	29.373	303	190	5	1081	1935	511	807	3.03e-31	139
g12050.t2	sp|Q15746|MYLK_HUMAN	31.169	308	184	12	2236	3090	402	704	1.94e-27	126
g12111.t1	sp|P59096|STAR6_MOUSE	31.905	210	129	4	10	633	3	200	1.80e-28	110
g15728.t1	sp|P31579|LCE_ORYLA	37.931	232	119	4	730	1413	61	271	2.12e-40	151
g15986.t1	sp|Q9JIT3|TLE3_RAT	52.542	826	308	17	13	2442	6	763	0.0	696
g16191.t1	sp|P46940|IQGA1_HUMAN	49.882	1700	776	15	22	5052	11	1657	0.0	1586
g16191.t2	sp|P46940|IQGA1_HUMAN	50.298	1680	772	15	154	5121	17	1657	0.0	1588
g16191.t3	sp|P46940|IQGA1_HUMAN	50.297	1686	776	14	22	5010	11	1657	0.0	1595
g16191.t4	sp|P46940|IQGA1_HUMAN	50.658	1672	777	14	22	4968	11	1657	0.0	1598
g16191.t5	sp|P46940|IQGA1_HUMAN	50.148	1689	782	15	22	5034	11	1657	0.0	1593
g16471.t1	sp|Q13231|CHIT1_HUMAN	38.689	473	261	9	67	1467	16	465	4.13e-105	324
g1294.t1	sp|P12111|CO6A3_HUMAN	26.786	448	289	13	1816	3069	39	477	1.82e-33	146
g1294.t1	sp|P12111|CO6A3_HUMAN	24.215	446	308	13	1816	3102	639	1071	1.69e-24	116
g1294.t1	sp|P12111|CO6A3_HUMAN	27.512	418	272	16	1801	2997	440	845	2.25e-24	116
g1294.t2	sp|P12111|CO6A3_HUMAN	26.786	448	289	13	1816	3069	39	477	7.15e-34	146
g1294.t2	sp|P12111|CO6A3_HUMAN	24.045	445	310	14	1816	3102	639	1071	1.40e-24	116
g1294.t2	sp|P12111|CO6A3_HUMAN	27.751	418	271	17	1801	2997	440	845	1.98e-24	115
g1703.t1	sp|Q58A42|DD3_DICDI	38.409	591	291	13	49	1740	18	562	6.16e-117	369
g1744.t1	sp|Q22328|LEV9_CAEEL	29.412	323	198	12	4	942	3	305	4.38e-27	119
